byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
Manohla Dargis,0,11/2/2017 4:18,Suspect Zero,A Serial Killer Who Stalks Other Serial Killers Is Loose,Read the New York Times Review of Suspect Zero,article,http://www.nytimes.com/movie/review?res=9C01E3DD103EF934A1575BC0A9629C8B63,R,,8/27/2004,8/27/2004,"Finally, a serial killer movie so preposterous, so garnished with accidental laugh lines and absent essential narrative logic it may actually put a permanent kibosh on this tediously overworked crime subgenre. Here's hoping, at any rate. Directed with self-conscious hothouse flair by E. Elias Merhige, from a puzzler of a screenplay credited to Zak Penn and Billy Ray, &quot;Suspect Zero&quot; involves a serial killer who's doing away with other serial killers and the disgraced F.B.I. agent who refuses to let this meta-murder madness go unpunished. Think &quot;Seven&quot; minus the talent. Soon after the agent Thomas Mackelway (Aaron Eckhart) lands in the F.B.I.'s Albuquerque bureau, he discovers a man's mutilated body carefully arranged amid the cacti and sand. One thing leads to another leads to a halfway house where twitchy Benjamin O'Ryan (Ben Kingsley) scratches out the kind of eerily beautiful artwork so beloved of movie sociopaths. As Mackelway tracks O'Ryan, it soon appears that the hunter and the hunted may be on the same horrific page even if the director and the screenwriters are not. — Manohla Dargis","Aaron Eckhart, Ben Kingsley, Carrie-Anne Moss, Harry Lennix",N/A,8570393,"UK, Germany, USA",12-Apr-05,E. Elias Merhige,"Crime, Horror, Mystery",English,37,"When Dallas FBI Agent Thomas Mackelway violates serial killer Raymond Starkey's civil rights during an unorthodox arrest, Starkey goes free and Mackelway is demoted to a remote branch of the agency in Albuquerque. His first day on the job, Mackelway investigates the murder of traveling salesman Harold Speck, which turns out to be the first of three seemingly random killings. Perhaps they are not random at all. The last to die is Mackelway's nemesis, Raymond Starkey. The assignment consumes him, his past mistakes haunt him, and his head throbs constantly as he tries to find the link between the victims that will lead him to their killer while the case becomes increasingly gruesome and patently personal. This does not go unnoticed by his unflappable partner Fran Kulok, who knows of Mackelway's past and the demons that afflict him. Like Mackelway, she becomes drawn into the labyrinth of chilling clues, all of which point to the enigmatic Benjamin O'Ryan. O'Ryan clearly has a connection to the murders, a connection he flaunts. Quite possibly, he may also harbor a sinister link to Mackelway.",https://m.media-amazon.com/images/M/MV5BZTA1Zjc4MGQtYWZhOS00MTg4LWE1ZWItZTE5OWUxZDMwMGY1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",27-Aug-04,TRUE,99 min,Suspect Zero,movie,http://www.suspectzero.com,"Zak Penn (story), Zak Penn (screenplay), Billy Ray (screenplay)",2004,tt0324127,5.9,"17,649"
Manohla Dargis,0,11/2/2017 4:18,Exorcist: The Beginning,What the Devil Is Going On Here?,Read the New York Times Review of Exorcist: The Beginning,article,http://www.nytimes.com/movie/review?res=9C07E1D9163EF932A1575BC0A9629C8B63,R,,8/20/2004,8/21/2004,"Spinning heads, cascades of pea soup and your mother's Army boots are nowhere to be found in &quot;Exorcist: The Beginning,&quot; but lovers of the ridiculous may be delighted to know that the specter of little Linda Blair a-twitch and a-tremble is not entirely forgotten. A prequel to &quot;The Exorcist,&quot; William Friedkin's 1973 shocker in which Ms. Blair played a child hijacked by Beelzebub, this new film comes gussied up with some fine talent (it stars Stellan Skarsgard as the same character played by Max von Sydow in the original) and a bag of cheap tricks, but when push comes to demonic shove hell apparently hath no fury like a woman in green pancake makeup just as surely as some producers hath no shame. Despite Renny Harlin's reliance on shock cuts and loud noises, however, the film singularly fails to deliver any palpable shivers. Perhaps more expectedly it does afford the occasional and presumably unintended laugh. — Minhola Dargis","Stellan Skarsgård, Izabella Scorupco, James D'Arcy, Remy Sweeney",6 nominations.,41784746,USA,25-Oct-05,Renny Harlin,"Horror, Mystery, Thriller",English,30,"Archeologist Lankester Merrin is asked to go to East Africa to excavate a church that has been found completely buried in sand. Merrin is also an ordained Roman Catholic priest who, still haunted by what he was forced to do during World War II in his native Holland, eschews any religion or belief. He's fascinated by what he finds and that it dates hundred of years before Christianity was introduced to the area. Accompanied by a young priest, Father Francis, to keep an eye on the religious elements of what they find, Merrin makes his way to the camp. There he meets a young doctor, Sarah and soon realizes there is an air of gloom that envelops the entire site. Workmen go mad and a young boy is mauled by a pack of hyenas while completely ignoring his younger brother Joseph. Inside the church itself they find signs of desecration. Merrin is forced to re-examine his lack of faith and come face to face with the devil.",https://m.media-amazon.com/images/M/MV5BMjI0NzY1MzQ0MV5BMl5BanBnXkFtZTcwOTM1MTEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",20-Aug-04,TRUE,114 min,Exorcist: The Beginning,movie,http://exorcistthebeginning.warnerbros.com/,"William Peter Blatty (movie The Exorcist), William Wisher (story), Caleb Carr (story), Alexi Hawley (screenplay)",2004,tt0204313,5.1,"30,672"
Stephen Holden,0,11/2/2017 4:18,Without a Paddle,Up a Creek With City Slickers and Beer-Bellied Beasts,Read the New York Times Review of Without a Paddle,article,http://www.nytimes.com/movie/review?res=9B02E7DD1F3FF933A1575BC0A9629C8B63,PG-13,,8/20/2004,8/20/2004,"As every red-blooded American male is at least partially  aware, 1972 was the year that camping trips lost their innocence. That was when the  movie &quot;Deliverance&quot; introduced a new specter into the horror show of macho nightmares.  Thanks to &quot;Deliverance&quot; and many subsequent rip-offs, every camper knows that behind  every tree may lurk a sadistic, rotten-toothed hillbilly itching to rape a soft city slicker  and make him squeal like a pig in front of his friends. The homosexual panic instilled  by &quot;Deliverance&quot; fuels the running joke (if that's the word for it) driving the uneasy  laughs evoked by this loathsome comedy in which three buddies, aged 30 going on 13,  embark on a ridiculous treasure hunt in the Pacific Northwest. &#151; Stephen Holden","Matthew Price, Andrew Hampton, Jarred Rumbold, Carl Snell",N/A,58156435,"USA, New Zealand",11-Jan-05,Steven Brill,"Adventure, Comedy, Mystery",English,29,"Three friends, whose lives have been drifting apart, reunite for the funeral of a fourth childhood friend. When looking through their childhood belongings, they discover a trunk which contained details on a quest their friend was attempting. It revealed that he was hot on the trail of the $200,000 that went missing with airplane hijacker D.B. Cooper in 1971. They decide to continue his journey, but do not understand the dangers they will soon encounter.",https://m.media-amazon.com/images/M/MV5BMjA0MTE2MDk2MF5BMl5BanBnXkFtZTYwMzg0NTc2._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",20-Aug-04,TRUE,95 min,Without a Paddle,movie,http://www.withoutapaddlemovie.com,"Fred Wolf (story), Harris Goldberg (story), Tom Nursall (story), Jay Leggett (screenplay), Mitch Rouse (screenplay)",2004,tt0364751,5.9,"40,524"
A. O. Scott,0,11/2/2017 4:18,Nicotina,Arranging the Actors to Promote Nicotine Fits,Read the New York Times Review of Nicotina,article,http://www.nytimes.com/movie/review?res=9C0CE7DC1F3FF933A1575BC0A9629C8B63,R,,8/20/2004,8/20/2004,"A stylish, unconvincing collection of second-hand gimmicks and attitudes, this Mexican caper movie borrows from &quot;Amores Perros,&quot; &quot;Run Lola Run&quot; and the collected early work of Quentin Tarantino. The narrative, hopping around the sad, garish notcturnal landscape of lower-middle-class Mexico City, unfolds in real time with the jumpy irritability of a 90-minute nicotine fit. A computer hacker (Diego Luna) takes a break from spying on his neighbor to go in on some shady business with Russian mobsters, and the ensuing wave of grisly, jokey violence sweeps up the unsuspecting proprietors of a modes beauty salon and a small pharmacy. In spite of the interesting cast and Hugo Rodríguez's deft sense of timing, the movie is little more than yet another numbing, dumbing exercise in warmed-over cool. &#151; A. O. Scott","Diego Luna, Lucas Crespi, Norman Sotolongo, Jesús Ochoa",12 wins & 12 nominations.,800371,"Mexico, Argentina, Spain",31-Dec-07,Hugo Rodríguez,"Action, Comedy, Crime",Spanish,49,"""Nicotina,"" is a crime caper set in Mexico City about a simple exchange that goes awry, causing the lives of nine unsuspecting characters to explode in one tumultuous night over a fortune in diamonds. Diego Luna stars as computer hacker Lolo, who is infatuated with his neighbor Andrea and catalogs her every move via high-tech peeping devices. Lolo teams with amateur criminals Tomson and his younger counterpart Nene in a deal with a Russian mobster that involves the exchange of diamonds for computer access to Swiss bank accounts. But the deal goes terribly wrong after Lolo's attempts to spoil Andrea's romantic trysts spiral out of control. Down the street, the irritable pharmacist Beto and his fed-up wife Clara get inadvertently entangled in the exchange, along with the humble barber Goyo and his domineering other half Carmen. Infected with diamond lust, these characters become obsessed with the intoxicating possibility of an easy life and their greed quickly transforms into fiery desperation. When the haze finally clears, computers have been hacked, people have been whacked and lives have gone up in a cloud of smoke.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MzQyODkwNl5BMl5BanBnXkFtZTcwMDc3NzYyMQ@@._V1_SX300.jpg,Arenas Entertainment,R,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",20-Aug-04,TRUE,90 min,Nicotina,movie,http://www.arenasgroup.com/nicotina.html,Martín Salinas,2003,tt0337930,6.7,"3,200"
Dave Kehr,0,11/2/2017 4:18,Alien vs. Predator,It's an Underground Monster World Series,Read the New York Times Review of Alien vs. Predator,article,http://www.nytimes.com/movie/review?res=9D0CE0DD153FF937A2575BC0A9629C8B63,,,8/13/2004,8/14/2004,"Set in a Jules Verne world beneath the earth's surface  in an incalculably ancient pyramid buried 2,000 feet beneath the Antarctic ice cap,  Paul W.H. Anderson's film imagines an apocalyptic conflict between two of 20th-Century Fox's franchise monsters, on loan from &quot;Alien&quot; (1979) and &quot;Predator&quot; (1986).  The humans don't have much to do in &quot;Alien vs. Predator&quot; but put the plot in motion and stand back to watch it work, a precarious position that eventually claims most of them.  Though Mr. Anderson does have an idea for creating a rooting interest, it's too far-fetched even for fantasy, and the film turns into a cold but occasionally impressive special-effects extravaganza. — Dave Kehr","Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",2 wins & 4 nominations.,80218314,"USA, UK, Czech Republic, Canada, Germany",25-Jan-05,Paul W.S. Anderson,"Action, Horror, Sci-Fi, Thriller","English, Italian",29,"When a private satellite encounters an unidentified source of heat in Antarctica and it is found to be a pyramid buried deep underground , a search team comprising of top-of-the-line archaeologists and engineers is sent to Antarctica to find out more . Once there , the team comes across signs which indicate that the place is inhabited by an unknown alien species . It is not long before the aliens begin to hunt the team members . At the same time , a trio of coming-of-age Predators have arrived to collect the skulls of the aliens as trophies , and the humans are caught between a deadly battle between the two warring species .",https://m.media-amazon.com/images/M/MV5BMTU4MjIwMTcyMl5BMl5BanBnXkFtZTYwMTYwNDA3._V1_SX300.jpg,20th Century Fox,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",13-Aug-04,TRUE,101 min,AVP: Alien vs. Predator,movie,http://www.avp-movie.com,"Dan O'Bannon (""Alien"" characters), Ronald Shusett (""Alien"" characters), Jim Thomas (""Predator"" characters), John Thomas (""Predator"" characters), Paul W.S. Anderson (screen story), Dan O'Bannon (screen story), Ronald Shusett (screen story), Paul W.S. Anderson (screenplay)",2004,tt0370263,5.6,"167,403"
A. O. Scott,0,11/2/2017 4:18,We Don't Live Here Anymore,Sexual Politics in a Noir Mood,Read the New York Times Review of We Don't Live Here Anymore,article,http://www.nytimes.com/movie/review?res=9D07E4DF173FF930A2575BC0A9629C8B63,R,,9/3/2004,8/13/2004,"Meticulously adapted from two novellas by Andre Dubus, John Curran's film is a somber anatomy of two marriages in crisis. Mark Ruffalo's Jack, who teaches literature at a small college, is having an affair with Edith (Naomi Watts), the wife of his best friend, a writer named Hank (Peter Krause), who has a fling with Jack's wife, Terry (Laura Dern). It is all a bit too symmetrical — a bedroom farce without a sense of humor — and the characters float free of any credible social context. But this dark, cracked crystal of a film nonetheless works as a kind of marital film noir, with the threat of emotional violence hanging over every scene. The actors give brave, unshowy performances, especially Ms. Dern, who lets go of any trace of actorly vanity, and Mr. Ruffalo, who portrays male weakness with an honesty rarely seen in American movies. — A. O. Scott","Mark Ruffalo, Laura Dern, Peter Krause, Naomi Watts",2 wins & 4 nominations.,1904214,"USA, Canada",14-Dec-04,John Curran,"Drama, Romance",English,66,"The movie is set in the Pacific Northwest; specifically, Washington state. We know this from a glimpse of a license plate, the craftsman architecture of the two houses, and the mature, rich landscapes in between. The setting, like the scrutiny of the four main character's lives, is defined by the narrowness of the camera's field-of view. The one commercial street in town is only seen in the reflection of a store window, a shot of a non-descript auto-yard, or the tunnel of a tree-lined suburban sidewalk. The lush, wooded landscape is understood as an immediate presence in the domestic and professional lives of the characters; a steep hill, railroad tracks, a rushing stream, and a path over an old steel bridge are revisited again and again by the characters in their capacities as lovers, parents and friends.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTA4MjAyMl5BMl5BanBnXkFtZTcwNjYyNjYyMQ@@._V1_SX300.jpg,Warner Independent,R,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",3-Sep-04,TRUE,101 min,We Don't Live Here Anymore,movie,http://www.wedontlivehereanymore.com,"Andre Dubus (short stories ""We Don't Live Here Anymore"" and ""Adultery""), Larry Gross (screenplay)",2004,tt0361309,6.3,"8,545"
Manohla Dargis,0,11/2/2017 4:18,The Princess Diaries 2: Royal Engagement,"To Take the Crown, Princess, You'll Need a Ring",Read the New York Times Review of The Princess Diaries 2: Royal Engagement,article,http://www.nytimes.com/movie/review?res=9C04E5D71E3CF932A2575BC0A9629C8B63,G,,8/11/2004,8/11/2004,"In the cardboard kingdom of Genovia, the setting for the new feature-length fairy tale &quot;The Princess Diaries 2: Royal Engagement,&quot; the streets are as scrubbed of dirt and personality as a Disney theme park. A mythic European country where everyone speaks accented English by way of Britain, France and Brooklyn, Genovia is the adopted home of Princess Mia (Anne Hathaway), a one-time San Francisco teenager-turned-old-world pretender. Unlike Pinocchio, Mia doesn't hang her wish on just any star; she hangs it on the movie-made promise that every girl can find her inner princess and, like, you know, rule. Directed by Garry Marshall, who's been selling wish-fulfillment fantasies for years, most notably in &quot;Pretty Woman,&quot; and written by Shonda Rhimes, &quot;The Princess Diaries 2&quot; combines a classic storybook scenario, in which the former ugly duckling refines her swan standing, with the usual self-help uplift. This time around, the princess who would be queen learns what the rest of us know already: happy movie endings generally come to those women who eat their independence and, in time, a wedding cake too. — Manohla Dargis","Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies",1 win & 2 nominations.,95111012,USA,14-Dec-04,Garry Marshall,"Comedy, Family, Romance","English, Greek, French, Spanish",43,"Princess Mia has just turned 21 and is supposed to succeed her grandmother as the Queen of Genovia. But Viscount Mabrey who wishes that his nephew who is also in line to the throne to be the new ruler, reminds everyone of a law that states that an unmarried woman can't be made queen, and with the backing of parliament, he opposes Mia's coronation. But Queen Clarice asks that Mia be allowed time to find a husband, and she is given 30 days. But Mabrey tries to do what he can to stop that. But his nephew, Nicholas has met Mia and they are both attracted to each other but Mia upon learning who he is, dislikes and doesn't trust him but Clarice has invited him to stay with them for the 30 day period to keep an eye on him.",https://m.media-amazon.com/images/M/MV5BODljNTU2ZGMtMWI5Yy00MGNkLTg2MTktN2NhZjY0NDcwMDhiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Walt Disney Pictures [us],G,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",11-Aug-04,TRUE,113 min,The Princess Diaries 2: Royal Engagement,movie,http://disney.go.com/disneypictures/diaries2/index.html,"Meg Cabot (characters), Gina Wendkos (story), Shonda Rhimes (story), Shonda Rhimes (screenplay)",2004,tt0368933,5.8,"64,438"
Manohla Dargis,1,11/2/2017 4:18,Collateral,"Killer in a Cab, Doing His Job",Read the New York Times Review of Collateral,article,http://www.nytimes.com/movie/review?res=9800E4DE123CF935A3575BC0A9629C8B63,R,,8/6/2004,8/6/2004,"In &quot;Collateral,&quot; the edgy new thriller from the director Michael Mann, the city never sleeps, it doesn't even relax. Set in Los Angeles mostly after dark, after the city's sunshine has given way to cool noir, the story centers on a taxi driver, Max (Jamie Foxx), and the assassin, Vincent (Tom Cruise), who hops a ride with him deep into the night. Pitched between interludes of anxious intimacy and equally nerve-shredding set pieces, &quot;Collateral&quot; scores its points with underhand precision. The film is about a lot of different things, about how Los Angeles lights up even at night, how cars become prostheses of our selves and how driving with the radio on can be bliss. But as with all of Mr. Mann's movies, &quot;Collateral&quot; is finally about men and work, and about how being a man is itself a kind of job, which explains why this fastidiously crafted commercial film isn't just an entertainment, but a statement of personal faith. — Manohla Dargis","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",Nominated for 2 Oscars. Another 23 wins & 68 nominations.,100003492,USA,14-Dec-04,Michael Mann,"Crime, Drama, Thriller","English, Spanish, French, Korean",71,"LA cabbie Max Durocher is the type of person who can wax poetic about other people's lives, which impresses U.S. Justice Department prosecutor Annie Farrell, one of his fares, so much that she gives him her telephone number at the end of her ride. Although a dedicated man as seen through the efficiency in which he does his work, he can't or won't translate that eloquence into a better life for himself. He deludes himself into believing that his now twelve year cabbie job is temporary and that someday he will own his own limousine service. He even lies to his hospitalized mother that he already owns one, with a further lie that he tells her as such primarily to make her happy, rather than the truth which is that he won't do anything to achieve that dream. One night, Max picks up a well dressed man named Vincent, who asks Max to be his only fare for the evening. For a flat fee of $600, plus an extra $100 if he gets to the airport on time - Vincent wants Max to drive him to five stops that evening. Max somewhat reluctantly agrees. Max learns the hard way at their first stop when a body falls from a third story apartment window and lands dead on top of his cab that Vincent is a contract hit man. Vincent's main goal, as per his current contract, is to kill five people, one at each of the stops, but he will not let others get in the way of that goal, even if it means killing them, including Max. As Vincent forces Max to continue driving him for the evening, Max tries slyly at every turn to take back control of his life from Vincent, especially when Max learns of one of the names on Vincent's hit list. Meanwhile, LAPD narcotics detective, Ray Fanning, and ultimately the FBI get involved when Vincent's first victim is associated with a case in which Ray is working undercover. Ray is able to piece together information which makes him hot on Max and Vincent's tail.",https://m.media-amazon.com/images/M/MV5BMjE3NjM5OTMxMV5BMl5BanBnXkFtZTcwOTIzMTQyMw@@._V1_SX300.jpg,Paramount Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",6-Aug-04,TRUE,120 min,Collateral,movie,http://www.collateral-themovie.com/,Stuart Beattie,2004,tt0369339,7.5,"326,871"
A. O. Scott,0,11/2/2017 4:18,Open Water,"Hanging With Sharks, at Their Dinner Hour",Read the New York Times Review of Open Water,article,http://www.nytimes.com/movie/review?res=9A02E5D8153CF935A3575BC0A9629C8B63,R,,8/20/2004,8/6/2004,"In this minimalist, digital video thriller, a tourist couple spends their vacation trying not to be eaten by sharks. &quot;I wanted to go skiing,&quot; complains Susan (Blanchard Ryan), and you can hardly blame her. She and Daniel (Daniel Travis), her boyfriend, out for a morning of scuba diving, have been left behind by the charter boat, and they bob up and down, fighting panic, exhaustion and each other in a desperate struggle to survive. The film, simply and efficiently shot without special effects or well-known actors, evokes some deep and primal fears, but it is ultimately too small, too under-dramatized, to provoke anything more intense than squirming discomfort. Susan and Daniel are so bland that they could be anybody, which is the problem, and your sympathy for them is fleeting, as if you had encountered them in a short, grisly item on the local evening news. — A. O. Scott","Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson",2 wins & 6 nominations.,30500882,USA,28-Dec-04,Chris Kentis,"Adventure, Drama, Horror",English,63,"A couple on a holiday in the Caribbean decide to spend the day on a scuba diving trip. But was it the wrong decision? When a mis-count happens on the boat, Susan and Daniel are left behind in the middle of the ocean, the boat long gone. With all their hopes set on the boat coming back to rescue them, they try to keep themselves safe, especially when sharks start to appear.",https://m.media-amazon.com/images/M/MV5BNjQ5ODAyOTk3OF5BMl5BanBnXkFtZTcwNzQ1NjYyMQ@@._V1_SX300.jpg,Lions Gate Films,R,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",20-Aug-04,TRUE,79 min,Open Water,movie,http://www.openwatermovie.com/,Chris Kentis,2003,tt0374102,5.7,"46,932"
Stephen Holden,0,11/2/2017 4:18,Little Black Book,Leaving His Past Behind (Electronically),Read the New York Times Review of Little Black Book,article,http://www.nytimes.com/movie/review?res=9900E6D6153CF935A3575BC0A9629C8B63,PG-13,,8/6/2004,8/6/2004,"This movie starring Brittany Murphy as an ambitious associate producer  of a trashy television talk show aspires to be a dewy-eyed self-help fable for ambitious  young women folded into a mean-spirited satire of Jerry Springer-style reality  programming. Offering few laughs and a climactic scene of breathtaking cruelty, the plot-heavy movie draws you against your will into its malignant force field. Almost from the  beginning, the film's sugary and rancid strains work against each other. To put it another  way, &quot;Little Black Book&quot; would like to be a wised-up but still starry-eyed &quot;Working Girl&quot;  and a more acerbic &quot;Broadcast News.&quot; In trying to be both things at once, it can't hold a candle to either forerunner. Batting her large vacant eyes and sucking  her lower lip into a pout, Ms. Murphy suggests a dumbed-down Meg Ryan with a gloss  of Melanie Griffith. — Stephen Holden","Brittany Murphy, Holly Hunter, Kathy Bates, Ron Livingston",1 nomination.,20422207,USA,4-Jan-05,Nick Hurran,"Comedy, Romance, Drama",English,36,"Stacy Holt, an associate producer for a daytime talk show, is confounded by her boyfriend Derek's unwillingness to talk about his previous relationships. Egged on by her co-worker Barb, Stacy sneaks a look at his personal digital organizer, scores the names and numbers of his exes, and sets up interviews with them--all in an effort to get closer to her man. Her plan starts to unravel, however, when she becomes friends with one of the women.",https://m.media-amazon.com/images/M/MV5BMTk3NDE1MjU4NF5BMl5BanBnXkFtZTcwNDk2NDYyMQ@@._V1_SX300.jpg,Sony Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",6-Aug-04,TRUE,111 min,Little Black Book,movie,http://www.sonypictures.com/movies/littleblackbook/,"Melissa Carter (story), Melissa Carter (screenplay), Elisa Bell (screenplay)",2004,tt0361841,5.3,"16,200"
